position,artist,track,album,shelf_artist,shelf_album,disc,track_number,duration_ms,spotify_track_uri
1,Kings of Leon,Closer,Only By The Night,Kings of Leon,Only By The Night,1,1,237480,spotify:track:1O8d2pWtBclzuY3FctBPVa
2,Kings of Leon,Crawl,Only By The Night,Kings of Leon,Only By The Night,1,2,246413,spotify:track:3YvSaCeNvGlFzIU1cFC5mG
3,Kings of Leon,Sex on Fire,Only By The Night,Kings of Leon,Only By The Night,1,3,203346,spotify:track:0ntQJM78wzOLVeCUAW7Y45
4,Kings of Leon,Use Somebody,Only By The Night,Kings of Leon,Only By The Night,1,4,230760,spotify:track:5VGlqQANWDKJFl0MBG3sg2
5,Kings of Leon,Manhattan,Only By The Night,Kings of Leon,Only By The Night,1,5,204226,spotify:track:2d5vz9uU5Jan1rX8mkxw2w
6,Kings of Leon,Revelry,Only By The Night,Kings of Leon,Only By The Night,1,6,201733,spotify:track:0bTlXQJzw4ddaLQPJ4rGS2
7,Kings of Leon,17,Only By The Night,Kings of Leon,Only By The Night,1,7,185373,spotify:track:3IYAT3Rtlyqlo4ndbugxfl
8,Kings of Leon,Notion,Only By The Night,Kings of Leon,Only By The Night,1,8,180840,spotify:track:40e9kU9Wd4vbedqSA7Io4n
9,Kings of Leon,I Want You,Only By The Night,Kings of Leon,Only By The Night,1,9,307453,spotify:track:59gSh5ihFRsCyB4gpwDjcC
10,Kings of Leon,Be Somebody,Only By The Night,Kings of Leon,Only By The Night,1,10,227146,spotify:track:0eQjA54TJkwTHDJKG8OkRg
11,Kings of Leon,Cold Desert,Only By The Night,Kings of Leon,Only By The Night,1,11,334706,spotify:track:1IhnbJZ7FywEL7YCyLKDgv
12,Michael Jackson,Don't Stop 'Til You Get Enough - 2003 Edit,Number Ones,Michael Jackson,Number Ones,1,1,237113,spotify:track:1HRtVWNhS9tEvDQyOKD9Fs
13,Michael Jackson,Rock with You - Single Version,Number Ones,Michael Jackson,Number Ones,1,2,221778,spotify:track:0mckKOsMlBypUfD6gzdNhY
14,Michael Jackson,Billie Jean,Number Ones,Michael Jackson,Number Ones,1,3,294601,spotify:track:3SkeDDHXP7IKUEkW4W9zmP
15,Michael Jackson,Beat It,Number Ones,Michael Jackson,Number Ones,1,4,259483,spotify:track:34eWqbo19RNJ9fguDBQGkA
16,Michael Jackson,Thriller - 2003 Edit,Number Ones,Michael Jackson,Number Ones,1,5,312794,spotify:track:0wQy2OO7jKjm0OOmA7gv3f
17,"Michael Jackson, Siedah Garrett",I Just Can't Stop Loving You (feat. Siedah Garrett),Number Ones,Michael Jackson,Number Ones,1,6,253018,spotify:track:4QAd9ssIA0LlGeTk72oEyP
18,Michael Jackson,Bad,Number Ones,Michael Jackson,Number Ones,1,7,247184,spotify:track:3tS8q8SXxtrYSN8UgeQt6q
19,Michael Jackson,Smooth Criminal - Radio Edit,Number Ones,Michael Jackson,Number Ones,1,8,258700,spotify:track:4N7LcVNKV13oxts55xpdIx
20,Michael Jackson,The Way You Make Me Feel,Number Ones,Michael Jackson,Number Ones,1,9,299138,spotify:track:4KuUjDtpMTBv55FzbcOW38
21,Michael Jackson,Man in the Mirror - 2003 Edit,Number Ones,Michael Jackson,Number Ones,1,10,304959,spotify:track:3mK75eGdaeLXxX7P1OzWLK
22,Michael Jackson,Dirty Diana,Number Ones,Michael Jackson,Number Ones,1,11,282062,spotify:track:6JZYMxvcoeLD4IifJPvDux
23,Michael Jackson,Black or White - Single Version,Number Ones,Michael Jackson,Number Ones,1,12,200060,spotify:track:6wdviVWctiZnY6tVn6bh6A
24,Michael Jackson,You Are Not Alone - Radio Edit,Number Ones,Michael Jackson,Number Ones,1,13,276244,spotify:track:2Y9JFksVsC4FgE5qQHLLII
25,Michael Jackson,Earth Song - Radio Edit,Number Ones,Michael Jackson,Number Ones,1,14,302187,spotify:track:2pSccP1kWvZcc9V9vWTfBW
26,Michael Jackson,You Rock My World - Radio Edit,Number Ones,Michael Jackson,Number Ones,1,15,266914,spotify:track:4oY2T9ur7Ll5b2kpBlcWcb
27,Michael Jackson,Break of Dawn,Number Ones,Michael Jackson,Number Ones,1,16,333441,spotify:track:0AekEma473V3q1YCyhpJs8
28,Michael Jackson,One More Chance,Number Ones,Michael Jackson,Number Ones,1,17,229400,spotify:track:7uyivkbdc8iH8wyBGBhlXV
29,Michael Jackson,Ben - 2003 Live Edit,Number Ones,Michael Jackson,Number Ones,1,18,177617,spotify:track:451F57lzZPmlkTsqKqdmGg
30,Justin Timberlake,Pusher Love Girl,The 20/20 Experience (Deluxe Version),Justin Timberlake,The 20/20 Experience,1,1,482369,spotify:track:773hekg7UEdbGvv3lJ3CmV
31,"Justin Timberlake, JAŸ-Z",Suit & Tie (feat. JAY-Z),The 20/20 Experience (Deluxe Version),Justin Timberlake,The 20/20 Experience,1,2,326271,spotify:track:6vt0I1cw1YmAIKDJvHVIM5
32,Justin Timberlake,Don't Hold the Wall,The 20/20 Experience (Deluxe Version),Justin Timberlake,The 20/20 Experience,1,3,430628,spotify:track:7I7EnQnVJH1uSJ0cSQKPuu
33,Justin Timberlake,Strawberry Bubblegum,The 20/20 Experience (Deluxe Version),Justin Timberlake,The 20/20 Experience,1,4,479755,spotify:track:7z0JDE4w67HXt5lEWsU2Hj
34,Justin Timberlake,Tunnel Vision,The 20/20 Experience (Deluxe Version),Justin Timberlake,The 20/20 Experience,1,5,406637,spotify:track:79MOydAvZYm8nyyzd6fiVi
35,Justin Timberlake,Spaceship Coupe,The 20/20 Experience (Deluxe Version),Justin Timberlake,The 20/20 Experience,1,6,437016,spotify:track:7xxEK0MQvkME1LSS2cIW7R
